ZCTA5	urban_rural-population-total_population	urban_rural-population-urban_total_population	urban_rural-population-rural_total_population	urban_rural-percent-urban_population-of-total_population	urban_rural-percent-rural_population-of-total_population
00601	18570	10679	7891	0.575	0.425
00602	41520	41520	0	1.0	0.0
00603	54689	54646	43	0.999	0.001
00606	6615	2697	3918	0.408	0.592
00610	29016	25640	3376	0.884	0.116
00612	67010	62391	4619	0.931	0.069
00616	11017	10438	579	0.947	0.053
00617	24597	24161	436	0.982	0.018
00622	7853	6171	1682	0.786	0.214
00623	43061	42435	626	0.985	0.015
00624	26241	22198	4043	0.846	0.154
00627	35159	30415	4744	0.865	0.135
00631	1852	0	1852	0.0	1.0
00637	25287	23163	2124	0.916	0.084
00638	18941	11839	7102	0.625	0.375
00641	31191	17647	13544	0.566	0.434
00646	38199	38199	0	1.0	0.0
00647	6172	4824	1348	0.782	0.218
00650	14998	10556	4442	0.704	0.296
00652	4715	3499	1216	0.742	0.258
00653	13307	12414	893	0.933	0.067
00656	21481	18931	2550	0.881	0.119
00659	41953	37407	4546	0.892	0.108
00660	17250	17216	34	0.998	0.002
00662	43282	41045	2237	0.948	0.052
00664	16784	11300	5484	0.673	0.327
00667	25968	21332	4636	0.821	0.179
00669	29744	23005	6739	0.773	0.227
00670	9807	3214	6593	0.328	0.672
00674	44457	41451	3006	0.932	0.068
00676	40316	35279	5037	0.875	0.125
00677	15272	15272	0	1.0	0.0
00678	27819	25250	2569	0.908	0.092
00680	58140	55306	2834	0.951	0.049
00682	32615	31681	934	0.971	0.029
00683	33772	30656	3116	0.908	0.092
00685	42831	37131	5700	0.867	0.133
00687	32610	29002	3608	0.889	0.111
00688	13543	11072	2471	0.818	0.182
00690	6255	6255	0	1.0	0.0
00692	37511	36811	700	0.981	0.019
00693	61038	58565	2473	0.959	0.041
00694	328	328	0	1.0	0.0
00698	41782	34339	7443	0.822	0.178
00703	28605	25704	2901	0.899	0.101
00704	8577	8451	126	0.985	0.015
00705	25598	22433	3165	0.876	0.124
00707	12225	9277	2948	0.759	0.241
00714	19566	18740	826	0.958	0.042
00715	3656	3445	211	0.942	0.058
00716	33779	33772	7	1.0	0.0
00717	18457	18457	0	1.0	0.0
00718	26606	24447	2159	0.919	0.081
00719	30990	30990	0	1.0	0.0
00720	23129	15016	8113	0.649	0.351
00723	19277	14345	4932	0.744	0.256
00725	89374	88248	1126	0.987	0.013
00727	58382	58098	284	0.995	0.005
00728	44908	44878	30	0.999	0.001
00729	53750	52665	1085	0.98	0.02
00730	35742	35602	140	0.996	0.004
00731	15524	9941	5583	0.64	0.36
00735	13730	12055	1675	0.878	0.122
00736	51532	46566	4966	0.904	0.096
00738	34922	34138	784	0.978	0.022
00739	39678	38548	1130	0.972	0.028
00740	2071	2071	0	1.0	0.0
00741	4971	4971	0	1.0	0.0
00745	55062	53688	1374	0.975	0.025
00751	23129	19033	4096	0.823	0.177
00754	40828	36221	4607	0.887	0.113
00757	23263	20295	2968	0.872	0.128
00765	9098	8068	1030	0.887	0.113
00766	26488	22564	3924	0.852	0.148
00767	38019	32192	5827	0.847	0.153
00769	40248	32781	7467	0.814	0.186
00771	38394	37453	941	0.975	0.025
00772	23105	22884	221	0.99	0.01
00773	20068	18289	1779	0.911	0.089
00775	1786	0	1786	0.0	1.0
00777	40684	39389	1295	0.968	0.032
00778	45429	45267	162	0.996	0.004
00780	13800	12555	1245	0.91	0.09
00782	19304	16841	2463	0.872	0.128
00783	36557	34186	2371	0.935	0.065
00784	44637	40553	4084	0.909	0.091
00786	357	357	0	1.0	0.0
00791	53417	53213	204	0.996	0.004
00794	30585	29472	1113	0.964	0.036
00795	48736	45396	3340	0.931	0.069
00901	7080	7080	0	1.0	0.0
00906	4	4	0	1.0	0.0
00907	17458	17458	0	1.0	0.0
00909	6230	6230	0	1.0	0.0
00911	8623	8623	0	1.0	0.0
00912	6801	6801	0	1.0	0.0
00913	9312	9312	0	1.0	0.0
00915	32820	32820	0	1.0	0.0
00917	21053	21053	0	1.0	0.0
00918	18056	18056	0	1.0	0.0
00920	17893	17893	0	1.0	0.0
00921	37763	37763	0	1.0	0.0
00923	29086	29086	0	1.0	0.0
00924	56691	56691	0	1.0	0.0
00925	8696	8696	0	1.0	0.0
00926	108862	108862	0	1.0	0.0
00927	14936	14936	0	1.0	0.0
00934	288	288	0	1.0	0.0
00936	681	681	0	1.0	0.0
00949	82278	82278	0	1.0	0.0
00950	9	0	9	0.0	1.0
00951	35	35	0	1.0	0.0
00952	10008	10008	0	1.0	0.0
00953	73014	73014	0	1.0	0.0
00956	79304	79280	24	1.0	0.0
00957	45680	45680	0	1.0	0.0
00959	50560	50560	0	1.0	0.0
00960	1779	1779	0	1.0	0.0
00961	32429	32429	0	1.0	0.0
00962	22491	22487	4	1.0	0.0
00965	9134	9134	0	1.0	0.0
00966	16676	16676	0	1.0	0.0
00968	3478	3478	0	1.0	0.0
00969	42219	42219	0	1.0	0.0
00971	30986	30982	4	1.0	0.0
00976	65136	65136	0	1.0	0.0
00979	17030	17030	0	1.0	0.0
00982	16428	16428	0	1.0	0.0
00983	39234	39234	0	1.0	0.0
00985	36553	36481	72	0.998	0.002
00987	63661	63443	218	0.997	0.003
01001	16769	16684	85	0.995	0.005
01002	29049	25560	3489	0.88	0.12
01003	10372	10372	0	1.0	0.0
01005	5079	0	5079	0.0	1.0
01007	14649	5915	8734	0.404	0.596
01008	1263	0	1263	0.0	1.0
01009	741	630	111	0.85	0.15
01010	3609	0	3609	0.0	1.0
01011	1370	0	1370	0.0	1.0
01012	661	0	661	0.0	1.0
01013	23188	23188	0	1.0	0.0
01020	29668	29668	0	1.0	0.0
01022	2451	2451	0	1.0	0.0
01026	946	0	946	0.0	1.0
01027	17660	15417	2243	0.873	0.127
01028	15720	15436	284	0.982	0.018
01029	789	0	789	0.0	1.0
01030	11669	10402	1267	0.891	0.109
01031	1308	408	900	0.312	0.688
01032	570	0	570	0.0	1.0
01033	6227	3380	2847	0.543	0.457
01034	2021	0	2021	0.0	1.0
01035	5250	3125	2125	0.595	0.405
01036	5109	2684	2425	0.525	0.475
01037	838	0	838	0.0	1.0
01038	2545	0	2545	0.0	1.0
01039	1336	395	941	0.296	0.704
01040	39880	39444	436	0.989	0.011
01050	2530	68	2462	0.027	0.973
01053	1685	1254	431	0.744	0.256
01054	1851	0	1851	0.0	1.0
01056	21103	18627	2476	0.883	0.117
01057	8534	2317	6217	0.272	0.728
01060	15284	14258	1026	0.933	0.067
01062	11150	9975	1175	0.895	0.105
01063	430	430	0	1.0	0.0
01066	64	0	64	0.0	1.0
01068	1902	0	1902	0.0	1.0
01069	8469	6428	2041	0.759	0.241
01070	629	0	629	0.0	1.0
01071	1596	455	1141	0.285	0.715
01072	1478	0	1478	0.0	1.0
01073	5792	1107	4685	0.191	0.809
01074	319	0	319	0.0	1.0
01075	17527	16949	578	0.967	0.033
01077	9502	5023	4479	0.529	0.471
01079	692	426	266	0.616	0.384
01080	2334	2334	0	1.0	0.0
01081	1698	0	1698	0.0	1.0
01082	10322	6560	3762	0.636	0.364
01083	2888	1502	1386	0.52	0.48
01084	176	0	176	0.0	1.0
01085	41117	37649	3468	0.916	0.084
01086	687	687	0	1.0	0.0
01088	670	0	670	0.0	1.0
01089	28391	27877	514	0.982	0.018
01092	1394	638	756	0.458	0.542
01093	325	0	325	0.0	1.0
01094	351	0	351	0.0	1.0
01095	14319	12387	1932	0.865	0.135
01096	2217	0	2217	0.0	1.0
01097	111	65	46	0.586	0.414
01098	1101	0	1101	0.0	1.0
01103	2479	2479	0	1.0	0.0
01104	22865	22865	0	1.0	0.0
01105	12350	12350	0	1.0	0.0
01106	16021	16021	0	1.0	0.0
01107	11611	11611	0	1.0	0.0
01108	26688	26688	0	1.0	0.0
01109	30250	30250	0	1.0	0.0
01118	14071	14071	0	1.0	0.0
01119	14152	14152	0	1.0	0.0
01128	2631	2631	0	1.0	0.0
01129	7019	7019	0	1.0	0.0
01151	8698	8698	0	1.0	0.0
01199	0	0	0		
01201	46504	43110	3394	0.927	0.073
01220	8603	7565	1038	0.879	0.121
01222	829	0	829	0.0	1.0
01223	2314	0	2314	0.0	1.0
01224	182	182	0	1.0	0.0
01225	3117	1689	1428	0.542	0.458
01226	6945	4892	2053	0.704	0.296
01229	95	0	95	0.0	1.0
01230	8430	3607	4823	0.428	0.572
01235	2766	588	2178	0.213	0.787
01236	1509	964	545	0.639	0.361
01237	2496	478	2018	0.192	0.808
01238	6047	4500	1547	0.744	0.256
01240	4534	3084	1450	0.68	0.32
01242	476	476	0	1.0	0.0
01243	334	0	334	0.0	1.0
01244	151	0	151	0.0	1.0
01245	985	0	985	0.0	1.0
01247	16087	12287	3800	0.764	0.236
01253	731	0	731	0.0	1.0
01254	972	0	972	0.0	1.0
01255	915	0	915	0.0	1.0
01256	692	0	692	0.0	1.0
01257	2121	0	2121	0.0	1.0
01258	374	0	374	0.0	1.0
01259	635	0	635	0.0	1.0
01260	240	62	178	0.258	0.742
01262	1238	535	703	0.432	0.568
01264	137	0	137	0.0	1.0
01266	1463	0	1463	0.0	1.0
01267	7989	5743	2246	0.719	0.281
01270	778	0	778	0.0	1.0
01301	17700	15544	2156	0.878	0.122
01330	1506	0	1506	0.0	1.0
01331	13263	7985	5278	0.602	0.398
01337	2596	0	2596	0.0	1.0
01338	187	0	187	0.0	1.0
01339	1438	0	1438	0.0	1.0
01340	1701	0	1701	0.0	1.0
01341	1833	0	1833	0.0	1.0
01342	1492	556	936	0.373	0.627
01343	75	0	75	0.0	1.0
01344	1498	489	1009	0.326	0.674
01346	533	0	533	0.0	1.0
01347	166	0	166	0.0	1.0
01349	1091	766	325	0.702	0.298
01350	121	0	121	0.0	1.0
01351	2270	148	2122	0.065	0.935
01354	1500	215	1285	0.143	0.857
01355	878	0	878	0.0	1.0
01360	3032	0	3032	0.0	1.0
01364	7969	4849	3120	0.608	0.392
01366	1277	0	1277	0.0	1.0
01367	522	0	522	0.0	1.0
01368	1261	0	1261	0.0	1.0
01370	4084	0	4084	0.0	1.0
01373	4600	1923	2677	0.418	0.582
01375	3684	2786	898	0.756	0.244
01376	5247	5247	0	1.0	0.0
01378	774	0	774	0.0	1.0
01379	813	0	813	0.0	1.0
01420	40337	37234	3103	0.923	0.077
01430	6089	602	5487	0.099	0.901
01431	3074	362	2712	0.118	0.882
01432	7089	6790	299	0.958	0.042
01434	1795	1795	0	1.0	0.0
01436	3336	2626	710	0.787	0.213
01438	559	514	45	0.919	0.081
01440	20347	19309	1038	0.949	0.051
01450	10646	6587	4059	0.619	0.381
01451	4747	79	4668	0.017	0.983
01452	4382	0	4382	0.0	1.0
01453	40883	39504	1379	0.966	0.034
01460	8924	8149	775	0.913	0.087
01462	10086	7034	3052	0.697	0.303
01463	11497	6620	4877	0.576	0.424
01464	7211	5287	1924	0.733	0.267
01467	316	0	316	0.0	1.0
01468	4021	877	3144	0.218	0.782
01469	6801	3362	3439	0.494	0.506
01473	7277	3224	4053	0.443	0.557
01474	2125	935	1190	0.44	0.56
01475	10270	5961	4309	0.58	0.42
01501	16075	15317	758	0.953	0.047
01503	2866	992	1874	0.346	0.654
01504	9026	8380	646	0.928	0.072
01505	4355	2417	1938	0.555	0.445
01506	3390	1132	2258	0.334	0.666
01507	12981	3723	9258	0.287	0.713
01510	13606	13601	5	1.0	0.0
01515	2183	1252	931	0.574	0.426
01516	8500	3463	5037	0.407	0.593
01518	2974	1919	1055	0.645	0.355
01519	6595	6146	449	0.932	0.068
01520	13997	12248	1749	0.875	0.125
01521	2481	0	2481	0.0	1.0
01522	3310	2272	1038	0.686	0.314
01523	7582	5175	2407	0.683	0.317
01524	6696	4776	1920	0.713	0.287
01525	290	290	0	1.0	0.0
01527	13246	12041	1205	0.909	0.091
01529	3190	2411	779	0.756	0.244
01531	999	0	999	0.0	1.0
01532	14155	13215	940	0.934	0.066
01534	5631	5021	610	0.892	0.108
01535	4680	2782	1898	0.594	0.406
01536	6888	6567	321	0.953	0.047
01537	2248	1724	524	0.767	0.233
01540	11291	8618	2673	0.763	0.237
01541	3413	0	3413	0.0	1.0
01542	2202	1762	440	0.8	0.2
01543	7973	3408	4565	0.427	0.573
01545	35299	35299	0	1.0	0.0
01550	16719	14656	2063	0.877	0.123
01560	4527	4527	0	1.0	0.0
01561	330	330	0	1.0	0.0
01562	11688	7727	3961	0.661	0.339
01564	7808	3107	4701	0.398	0.602
01566	6294	3212	3082	0.51	0.49
01568	7480	4308	3172	0.576	0.424
01569	13569	11052	2517	0.815	0.185
01570	16767	16276	491	0.971	0.029
01571	11390	9015	2375	0.791	0.209
01581	18272	17371	901	0.951	0.049
01583	7591	6702	889	0.883	0.117
01585	4554	1996	2558	0.438	0.562
01588	9733	9629	104	0.989	0.011
01590	8875	5439	3436	0.613	0.387
01602	22819	22819	0	1.0	0.0
01603	19916	19916	0	1.0	0.0
01604	34677	34677	0	1.0	0.0
01605	26221	26221	0	1.0	0.0
01606	19077	19077	0	1.0	0.0
01607	8351	8351	0	1.0	0.0
01608	3888	3888	0	1.0	0.0
01609	22421	22421	0	1.0	0.0
01610	23945	23945	0	1.0	0.0
01611	2242	1705	537	0.76	0.24
01612	4845	2130	2715	0.44	0.56
01701	31217	31217	0	1.0	0.0
01702	37206	37206	0	1.0	0.0
01718	469	469	0	1.0	0.0
01719	4996	4991	5	0.999	0.001
01720	21361	20147	1214	0.943	0.057
01721	16593	16346	247	0.985	0.015
01730	13221	13143	78	0.994	0.006
01731	1396	1396	0	1.0	0.0
01740	4897	285	4612	0.058	0.942
01741	4852	723	4129	0.149	0.851
01742	17726	15273	2453	0.862	0.138
01745	397	397	0	1.0	0.0
01746	13547	13016	531	0.961	0.039
01747	5911	5871	40	0.993	0.007
01748	14925	11693	3232	0.783	0.217
01749	19063	18690	373	0.98	0.02
01752	38499	38380	119	0.997	0.003
01754	10106	10048	58	0.994	0.006
01756	5839	2629	3210	0.45	0.55
01757	28061	27799	262	0.991	0.009
01760	32786	32384	402	0.988	0.012
01770	4119	1272	2847	0.309	0.691
01772	9370	9313	57	0.994	0.006
01773	5112	2749	2363	0.538	0.462
01775	6590	4096	2494	0.622	0.378
01776	17659	16703	956	0.946	0.054
01778	13109	12743	366	0.972	0.028
01801	38903	38903	0	1.0	0.0
01803	24487	24487	0	1.0	0.0
01810	33201	33201	0	1.0	0.0
01821	30310	30310	0	1.0	0.0
01824	24911	24911	0	1.0	0.0
01826	29422	28230	1192	0.959	0.041
01827	3179	486	2693	0.153	0.847
01830	25137	24681	456	0.982	0.018
01832	22060	22060	0	1.0	0.0
01833	8183	7397	786	0.904	0.096
01834	6459	5647	812	0.874	0.126
01835	13682	13510	172	0.987	0.013
01840	4733	4733	0	1.0	0.0
01841	47225	47225	0	1.0	0.0
01843	24425	24425	0	1.0	0.0
01844	47249	47247	2	1.0	0.0
01845	28352	27116	1236	0.956	0.044
01850	15237	15237	0	1.0	0.0
01851	30190	30190	0	1.0	0.0
01852	33508	33508	0	1.0	0.0
01854	27606	27606	0	1.0	0.0
01860	6338	5487	851	0.866	0.134
01862	10227	10185	42	0.996	0.004
01863	8891	8891	0	1.0	0.0
01864	14892	14892	0	1.0	0.0
01867	23956	23956	0	1.0	0.0
01876	28667	28667	0	1.0	0.0
01879	11305	10904	401	0.965	0.035
01880	24733	24733	0	1.0	0.0
01886	21951	21912	39	0.998	0.002
01887	22325	22325	0	1.0	0.0
01890	21382	21382	0	1.0	0.0
01901	1689	1689	0	1.0	0.0
01902	45139	45139	0	1.0	0.0
01904	18203	18203	0	1.0	0.0
01905	25251	25251	0	1.0	0.0
01906	26660	26660	0	1.0	0.0
01907	14027	14027	0	1.0	0.0
01908	3410	3410	0	1.0	0.0
01913	16283	16191	92	0.994	0.006
01915	39502	39233	269	0.993	0.007
01921	7961	3423	4538	0.43	0.57
01922	3108	1598	1510	0.514	0.486
01923	26342	26342	0	1.0	0.0
01929	3504	1978	1526	0.564	0.436
01930	28789	25397	3392	0.882	0.118
01937	151	151	0	1.0	0.0
01938	13175	9247	3928	0.702	0.298
01940	12108	12108	0	1.0	0.0
01944	5136	4237	899	0.825	0.175
01945	19808	19808	0	1.0	0.0
01949	8987	7952	1035	0.885	0.115
01950	17416	17413	3	1.0	0.0
01951	3558	2087	1471	0.587	0.413
01952	8283	7397	886	0.893	0.107
01960	50944	50944	0	1.0	0.0
01966	6952	6397	555	0.92	0.08
01969	5856	4418	1438	0.754	0.246
01970	41109	41109	0	1.0	0.0
01982	7764	6436	1328	0.829	0.171
01983	6089	5182	907	0.851	0.149
01984	4875	3847	1028	0.789	0.211
01985	4235	1815	2420	0.429	0.571
02019	16332	15744	588	0.964	0.036
02021	21561	21561	0	1.0	0.0
02025	7542	7221	321	0.957	0.043
02026	24711	24711	0	1.0	0.0
02030	5589	3911	1678	0.7	0.3
02032	4226	4226	0	1.0	0.0
02035	16865	16702	163	0.99	0.01
02038	31635	31369	266	0.992	0.008
02043	22157	21581	576	0.974	0.026
02045	10293	10292	1	1.0	0.0
02047	180	180	0	1.0	0.0
02048	23184	23184	0	1.0	0.0
02050	25429	23226	2203	0.913	0.087
02052	12024	11445	579	0.952	0.048
02053	12752	12714	38	0.997	0.003
02054	7891	6861	1030	0.869	0.131
02056	10981	10963	18	0.998	0.002
02061	10506	9458	1048	0.9	0.1
02062	28602	28602	0	1.0	0.0
02066	17656	16627	1029	0.942	0.058
02067	17486	16050	1436	0.918	0.082
02071	1707	1707	0	1.0	0.0
02072	26999	26999	0	1.0	0.0
02081	18472	18472	0	1.0	0.0
02090	14636	14442	194	0.987	0.013
02093	10955	9559	1396	0.873	0.127
02108	3825	3825	0	1.0	0.0
02109	3771	3771	0	1.0	0.0
02110	1733	1733	0	1.0	0.0
02111	7383	7383	0	1.0	0.0
02113	6915	6915	0	1.0	0.0
02114	11999	11999	0	1.0	0.0
02115	28441	28441	0	1.0	0.0
02116	20628	20628	0	1.0	0.0
02118	26498	26498	0	1.0	0.0
02119	25346	25346	0	1.0	0.0
02120	15181	15181	0	1.0	0.0
02121	25978	25978	0	1.0	0.0
02122	23479	22946	533	0.977	0.023
02124	47783	47783	0	1.0	0.0
02125	33295	33295	0	1.0	0.0
02126	25562	25562	0	1.0	0.0
02127	31799	31799	0	1.0	0.0
02128	40508	40508	0	1.0	0.0
02129	16439	16439	0	1.0	0.0
02130	35401	35401	0	1.0	0.0
02131	29826	29826	0	1.0	0.0
02132	25861	25861	0	1.0	0.0
02134	21503	21503	0	1.0	0.0
02135	42780	42780	0	1.0	0.0
02136	28488	28488	0	1.0	0.0
02138	36314	36314	0	1.0	0.0
02139	36349	36349	0	1.0	0.0
02140	17607	17607	0	1.0	0.0
02141	11910	11910	0	1.0	0.0
02142	3141	3141	0	1.0	0.0
02143	24514	24514	0	1.0	0.0
02144	23891	23891	0	1.0	0.0
02145	25439	25439	0	1.0	0.0
02148	59503	59503	0	1.0	0.0
02149	41550	41550	0	1.0	0.0
02150	35124	35124	0	1.0	0.0
02151	51808	51808	0	1.0	0.0
02152	17497	17497	0	1.0	0.0
02155	57964	57964	0	1.0	0.0
02163	2582	2582	0	1.0	0.0
02169	55055	55055	0	1.0	0.0
02170	19505	19505	0	1.0	0.0
02171	17711	17711	0	1.0	0.0
02176	26983	26983	0	1.0	0.0
02180	21437	21437	0	1.0	0.0
02184	35744	35744	0	1.0	0.0
02186	27003	27003	0	1.0	0.0
02188	14608	14608	0	1.0	0.0
02189	14559	14559	0	1.0	0.0
02190	16119	16119	0	1.0	0.0
02191	8457	8457	0	1.0	0.0
02199	1146	1146	0	1.0	0.0
02203	0	0	0		
02210	2090	2090	0	1.0	0.0
02215	26125	26125	0	1.0	0.0
02301	61025	61025	0	1.0	0.0
02302	32741	32741	0	1.0	0.0
02322	4356	4356	0	1.0	0.0
02324	26563	25017	1546	0.942	0.058
02330	11509	8828	2681	0.767	0.233
02332	15059	14153	906	0.94	0.06
02333	13794	12940	854	0.938	0.062
02338	7518	5416	2102	0.72	0.28
02339	13879	13879	0	1.0	0.0
02341	10218	9167	1051	0.897	0.103
02343	10745	10745	0	1.0	0.0
02346	23106	12690	10416	0.549	0.451
02347	10612	5394	5218	0.508	0.492
02351	16029	16029	0	1.0	0.0
02356	12564	12131	433	0.966	0.034
02357	1360	1360	0	1.0	0.0
02359	17828	17309	519	0.971	0.029
02360	56271	50529	5742	0.898	0.102
02364	12629	11575	1054	0.917	0.083
02366	197	0	197	0.0	1.0
02367	2820	345	2475	0.122	0.878
02368	32158	32158	0	1.0	0.0
02370	17489	17489	0	1.0	0.0
02375	9188	8772	416	0.955	0.045
02379	6916	6357	559	0.919	0.081
02382	14489	14489	0	1.0	0.0
02420	14052	14052	0	1.0	0.0
02421	17342	17342	0	1.0	0.0
02445	20679	20679	0	1.0	0.0
02446	29311	29311	0	1.0	0.0
02451	17426	17426	0	1.0	0.0
02452	14238	14238	0	1.0	0.0
02453	28968	28968	0	1.0	0.0
02457	1432	1432	0	1.0	0.0
02458	12131	12131	0	1.0	0.0
02459	19095	19095	0	1.0	0.0
02460	8742	8742	0	1.0	0.0
02461	7059	7059	0	1.0	0.0
02462	1554	1554	0	1.0	0.0
02464	2953	2953	0	1.0	0.0
02465	11710	11710	0	1.0	0.0
02466	8096	8096	0	1.0	0.0
02467	22491	22491	0	1.0	0.0
02468	5273	5273	0	1.0	0.0
02472	32014	32014	0	1.0	0.0
02474	26312	26312	0	1.0	0.0
02476	16532	16532	0	1.0	0.0
02478	24664	24664	0	1.0	0.0
02481	16244	16244	0	1.0	0.0
02482	10306	10306	0	1.0	0.0
02492	19931	19931	0	1.0	0.0
02493	11261	11261	0	1.0	0.0
02494	8955	8955	0	1.0	0.0
02532	12690	11439	1251	0.901	0.099
02534	842	626	216	0.743	0.257
02535	1177	0	1177	0.0	1.0
02536	19583	18186	1397	0.929	0.071
02537	6293	6056	237	0.962	0.038
02538	3603	3221	382	0.894	0.106
02539	4067	2795	1272	0.687	0.313
02540	8221	8086	135	0.984	0.016
02542	1139	1034	105	0.908	0.092
02543	635	612	23	0.964	0.036
02553	226	209	17	0.925	0.075
02554	9852	8250	1602	0.837	0.163
02556	3115	3115	0	1.0	0.0
02557	4491	3872	619	0.862	0.138
02558	2156	2151	5	0.998	0.002
02559	3376	3298	78	0.977	0.023
02561	539	539	0	1.0	0.0
02562	2977	2912	65	0.978	0.022
02563	10359	10321	38	0.996	0.004
02564	310	0	310	0.0	1.0
02568	4000	3415	585	0.854	0.146
02571	10481	9703	778	0.926	0.074
02575	2725	0	2725	0.0	1.0
02576	3754	3110	644	0.828	0.172
02584	10	0	10	0.0	1.0
02601	14089	14089	0	1.0	0.0
02630	1850	1582	268	0.855	0.145
02631	9679	7965	1714	0.823	0.177
02632	10742	10713	29	0.997	0.003
02633	3884	3710	174	0.955	0.045
02635	3296	3035	261	0.921	0.079
02637	253	185	68	0.731	0.269
02638	3207	2926	281	0.912	0.088
02639	2875	2875	0	1.0	0.0
02641	532	197	335	0.37	0.63
02642	4937	4658	279	0.943	0.057
02643	26	26	0	1.0	0.0
02644	3955	3954	1	1.0	0.0
02645	9663	8989	674	0.93	0.07
02646	1676	1676	0	1.0	0.0
02647	129	129	0	1.0	0.0
02648	7301	7126	175	0.976	0.024
02649	14006	13341	665	0.953	0.047
02650	848	788	60	0.929	0.071
02651	16	4	12	0.25	0.75
02652	1175	385	790	0.328	0.672
02653	5911	4947	964	0.837	0.163
02655	3518	2840	678	0.807	0.193
02657	2942	2767	175	0.941	0.059
02659	1108	1103	5	0.995	0.005
02660	6261	6139	122	0.981	0.019
02663	173	99	74	0.572	0.428
02664	9371	9371	0	1.0	0.0
02666	828	0	828	0.0	1.0
02667	2580	470	2110	0.182	0.818
02668	3278	2508	770	0.765	0.235
02669	285	237	48	0.832	0.168
02670	1307	1307	0	1.0	0.0
02671	1023	1023	0	1.0	0.0
02672	180	180	0	1.0	0.0
02673	8402	8127	275	0.967	0.033
02675	6577	5748	829	0.874	0.126
02702	4125	3097	1028	0.751	0.249
02703	43593	43593	0	1.0	0.0
02713	52	0	52	0.0	1.0
02715	3123	1224	1899	0.392	0.608
02717	4745	2136	2609	0.45	0.55
02718	6655	6278	377	0.943	0.057
02719	15873	15350	523	0.967	0.033
02720	30287	30074	213	0.993	0.007
02721	26290	26290	0	1.0	0.0
02723	14767	14767	0	1.0	0.0
02724	16908	16908	0	1.0	0.0
02725	2631	2631	0	1.0	0.0
02726	15534	15534	0	1.0	0.0
02738	4907	3909	998	0.797	0.203
02739	6045	2885	3160	0.477	0.523
02740	43087	43087	0	1.0	0.0
02743	10307	6461	3846	0.627	0.373
02744	11900	11900	0	1.0	0.0
02745	24576	24437	139	0.994	0.006
02746	15342	15342	0	1.0	0.0
02747	22927	16996	5931	0.741	0.259
02748	11442	9224	2218	0.806	0.194
02760	26739	26739	0	1.0	0.0
02762	8264	7650	614	0.926	0.074
02763	1973	1973	0	1.0	0.0
02764	3988	1973	2015	0.495	0.505
02766	19031	16080	2951	0.845	0.155
02767	13566	12991	575	0.958	0.042
02769	11608	1505	10103	0.13	0.87
02770	5093	270	4823	0.053	0.947
02771	13708	12544	1164	0.915	0.085
02777	15840	12669	3171	0.8	0.2
02779	6411	2777	3634	0.433	0.567
02780	49036	46327	2709	0.945	0.055
02790	15717	7997	7720	0.509	0.491
02791	246	0	246	0.0	1.0
02802	786	786	0	1.0	0.0
02804	2607	1352	1255	0.519	0.481
02806	16310	16310	0	1.0	0.0
02807	1051	0	1051	0.0	1.0
02808	2401	0	2401	0.0	1.0
02809	22938	22792	146	0.994	0.006
02812	1497	0	1497	0.0	1.0
02813	7831	1571	6260	0.201	0.799
02814	7496	541	6955	0.072	0.928
02815	278	0	278	0.0	1.0
02816	32611	28054	4557	0.86	0.14
02817	6135	1554	4581	0.253	0.747
02818	18082	16120	1962	0.891	0.109
02822	6111	1556	4555	0.255	0.745
02825	5377	0	5377	0.0	1.0
02826	791	499	292	0.631	0.369
02827	2172	0	2172	0.0	1.0
02828	7704	7669	35	0.995	0.005
02830	5976	3325	2651	0.556	0.444
02831	3515	1983	1532	0.564	0.436
02832	4608	0	4608	0.0	1.0
02833	784	0	784	0.0	1.0
02835	5405	4948	457	0.915	0.085
02836	136	0	136	0.0	1.0
02837	3492	0	3492	0.0	1.0
02838	3400	3400	0	1.0	0.0
02839	1902	1327	575	0.698	0.302
02840	23335	23004	331	0.986	0.014
02841	1392	1392	0	1.0	0.0
02842	16095	15699	396	0.975	0.025
02852	22551	21942	609	0.973	0.027
02857	8412	1881	6531	0.224	0.776
02858	570	558	12	0.979	0.021
02859	6738	3883	2855	0.576	0.424
02860	45199	45199	0	1.0	0.0
02861	26178	26178	0	1.0	0.0
02863	19385	19385	0	1.0	0.0
02864	33396	31035	2361	0.929	0.071
02865	16951	16933	18	0.999	0.001
02871	17171	16630	541	0.968	0.032
02872	218	0	218	0.0	1.0
02873	235	0	235	0.0	1.0
02874	5860	3923	1937	0.669	0.331
02875	307	0	307	0.0	1.0
02876	430	430	0	1.0	0.0
02878	15780	11192	4588	0.709	0.291
02879	20371	15430	4941	0.757	0.243
02881	7841	7477	364	0.954	0.046
02882	14184	14170	14	0.999	0.001
02885	10627	10203	424	0.96	0.04
02886	29269	29269	0	1.0	0.0
02888	19912	19912	0	1.0	0.0
02889	28217	28217	0	1.0	0.0
02891	21198	19771	1427	0.933	0.067
02892	4988	648	4340	0.13	0.87
02893	29630	29630	0	1.0	0.0
02894	722	0	722	0.0	1.0
02895	41186	41186	0	1.0	0.0
02896	11537	9703	1834	0.841	0.159
02898	1696	0	1696	0.0	1.0
02903	10780	10780	0	1.0	0.0
02904	29359	29359	0	1.0	0.0
02905	25223	25223	0	1.0	0.0
02906	28387	28387	0	1.0	0.0
