ZCTA5	urban_rural-population-total_population	urban_rural-population-urban_total_population	urban_rural-population-rural_total_population	urban_rural-percent-urban_population-of-total_population	urban_rural-percent-rural_population-of-total_population
74643	615	0	615	0.0	1.0
74644	478	0	478	0.0	1.0
74646	233	0	233	0.0	1.0
74647	3765	0	3765	0.0	1.0
74650	693	0	693	0.0	1.0
74651	743	0	743	0.0	1.0
74652	897	0	897	0.0	1.0
74653	3892	3141	751	0.807	0.193
74701	22365	14770	7595	0.66	0.34
74720	608	0	608	0.0	1.0
74722	286	0	286	0.0	1.0
74723	1729	0	1729	0.0	1.0
74724	377	0	377	0.0	1.0
74726	2398	0	2398	0.0	1.0
74727	2038	0	2038	0.0	1.0
74728	11343	4253	7090	0.375	0.625
74729	2741	0	2741	0.0	1.0
74730	4259	1632	2627	0.383	0.617
74731	1747	0	1747	0.0	1.0
74733	2853	0	2853	0.0	1.0
74734	1087	0	1087	0.0	1.0
74735	1549	0	1549	0.0	1.0
74736	1178	0	1178	0.0	1.0
74738	560	0	560	0.0	1.0
74740	2288	0	2288	0.0	1.0
74741	972	0	972	0.0	1.0
74743	8537	5028	3509	0.589	0.411
74745	9912	5940	3972	0.599	0.401
74747	153	0	153	0.0	1.0
74748	642	0	642	0.0	1.0
74750	364	0	364	0.0	1.0
74753	52	0	52	0.0	1.0
74754	385	0	385	0.0	1.0
74755	83	0	83	0.0	1.0
74756	870	0	870	0.0	1.0
74759	1358	0	1358	0.0	1.0
74760	295	0	295	0.0	1.0
74761	70	0	70	0.0	1.0
74764	3473	0	3473	0.0	1.0
74766	1595	0	1595	0.0	1.0
74801	21657	14986	6671	0.692	0.308
74804	19631	14312	5319	0.729	0.271
74820	30802	17400	13402	0.565	0.435
74824	1253	0	1253	0.0	1.0
74825	2170	0	2170	0.0	1.0
74826	1252	0	1252	0.0	1.0
74827	387	0	387	0.0	1.0
74829	1521	0	1521	0.0	1.0
74830	229	0	229	0.0	1.0
74831	923	0	923	0.0	1.0
74832	936	0	936	0.0	1.0
74833	703	0	703	0.0	1.0
74834	7590	2704	4886	0.356	0.644
74836	171	0	171	0.0	1.0
74837	310	0	310	0.0	1.0
74839	770	0	770	0.0	1.0
74840	1924	0	1924	0.0	1.0
74842	135	0	135	0.0	1.0
74843	340	0	340	0.0	1.0
74844	371	0	371	0.0	1.0
74845	494	0	494	0.0	1.0
74848	8326	5768	2558	0.693	0.307
74849	3132	0	3132	0.0	1.0
74850	283	0	283	0.0	1.0
74851	9805	0	9805	0.0	1.0
74852	1347	0	1347	0.0	1.0
74854	1897	0	1897	0.0	1.0
74855	4639	0	4639	0.0	1.0
74856	782	0	782	0.0	1.0
74857	9288	0	9288	0.0	1.0
74859	6221	3152	3069	0.507	0.493
74860	1653	0	1653	0.0	1.0
74864	5274	0	5274	0.0	1.0
74865	1711	0	1711	0.0	1.0
74867	1045	0	1045	0.0	1.0
74868	13152	5931	7221	0.451	0.549
74869	710	0	710	0.0	1.0
74871	2415	0	2415	0.0	1.0
74872	3692	0	3692	0.0	1.0
74873	11821	4957	6864	0.419	0.581
74875	1165	0	1165	0.0	1.0
74878	1565	0	1565	0.0	1.0
74880	2239	0	2239	0.0	1.0
74881	4509	0	4509	0.0	1.0
74883	2526	0	2526	0.0	1.0
74884	6024	3071	2953	0.51	0.49
74901	1992	1713	279	0.86	0.14
74902	4095	392	3703	0.096	0.904
74930	2155	0	2155	0.0	1.0
74931	1411	0	1411	0.0	1.0
74932	2286	0	2286	0.0	1.0
74935	174	0	174	0.0	1.0
74936	1153	0	1153	0.0	1.0
74937	5959	3058	2901	0.513	0.487
74939	1455	0	1455	0.0	1.0
74940	2697	702	1995	0.26	0.74
74941	2713	0	2713	0.0	1.0
74942	193	0	193	0.0	1.0
74943	112	0	112	0.0	1.0
74944	1272	0	1272	0.0	1.0
74945	497	0	497	0.0	1.0
74946	137	128	9	0.934	0.066
74948	12788	2913	9875	0.228	0.772
74949	308	0	308	0.0	1.0
74951	1504	0	1504	0.0	1.0
74953	11632	7167	4465	0.616	0.384
74954	4590	2928	1662	0.638	0.362
